screenW,screenH,workerid,OS,Browser
1680,1050,0,Windows,Chrome
1920,1080,1,Windows,Chrome
1280,800,2,Windows,Chrome
1920,1080,3,Windows,Chrome
1600,900,4,Windows,Chrome
1600,900,5,Windows,Firefox
1366,768,6,Windows,Chrome
1680,1050,7,Windows,Chrome
1360,768,8,Windows,Chrome
2560,1080,9,Windows,Chrome
1920,1080,10,Windows,Firefox
1920,1080,11,Windows,Chrome
1920,1080,12,Windows,Chrome
1360,768,13,Windows,Chrome
1600,900,14,Windows,Firefox
1280,720,15,Windows,Chrome
1920,1200,16,Windows,Chrome
1366,768,17,Windows,Chrome
1366,768,18,Windows,Chrome
1600,900,19,Windows,Chrome
1536,864,20,Windows,Chrome
1536,864,21,Windows,Chrome
1440,900,22,Windows,Chrome
1366,768,23,Windows,Chrome
1920,1080,24,Windows,Chrome
1920,1080,25,Windows,Chrome
1366,768,26,Windows,Chrome
1366,768,27,Linux,Chrome
1536,864,28,Linux,Chrome
1440,900,29,Windows,Chrome
1920,1080,30,Windows,Chrome
1739,979,31,Windows,Chrome
2560,1080,32,Windows,Chrome
1536,864,33,Windows,Chrome
1600,900,34,Windows,Chrome
1920,1080,35,Windows,Chrome
1920,1080,36,Windows,Chrome
1536,864,37,Windows,Chrome
1280,800,38,Windows,Chrome
2560,1440,39,Windows,Chrome
1366,768,40,Windows,Chrome
1536,864,41,Windows,Chrome
1440,900,42,Mac,Chrome
1536,864,43,Windows,Chrome
1920,1080,44,Windows,Firefox
1366,768,45,Windows,Chrome
1366,768,46,Windows,Chrome
1280,800,47,Mac,Chrome
2560,1440,48,Windows,Chrome
1920,1080,49,Linux,Chrome
1536,864,50,Windows,Chrome
1366,768,51,Windows,Chrome
1366,768,52,Windows,Chrome
1920,1080,53,Windows,Chrome
1536,864,54,Windows,Chrome
1920,1080,55,Windows,Chrome
1680,1050,56,Mac,Chrome
1920,1080,57,Windows,Chrome
1366,768,58,Windows,Chrome
1440,900,59,Mac,Chrome
1440,900,60,Mac,Chrome
1280,720,61,Windows,Chrome
1920,1200,62,Windows,Chrome
